DailyDialog,,,,,
,,,,,
,,,,,
Baseline,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.006,0.1176,,0.3867,29.74
2,0.005,0.1263,,0.3867,29.27
3,0.005,0.1131,,0.3871,29.52
4,0.006,0.1208,,0.3881,28.95
5,0.006,0.1202,,0.3876,29.32
,,,,,
Drop Stop Words 0.75,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.004,0.08622,,0.2788,104.2
2,0.001,0.08813,,0.2819,104.8
3,0.003,0.08602,,0.2836,107.5
4,0.002,0.07692,,0.2775,106.8
5,0.001,0.07439,,0.2809,100.6
,,,,,
Drop Stop Words 0.50,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.002,0.09877,,0.3364,46.35
2,0.001,0.1008,,0.3333,47.52
3,0.002,0.1001,,0.3334,46.25
4,0.003,0.09953,,0.3356,47.37
5,0.002,0.1151,,0.3318,47.84
,,,,,
Drop Stop Words 0.25,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.003,0.1054,,0.3661,35.59
2,0.002,0.11,,0.3652,35.73
3,0.001,0.107,,0.3666,35.43
4,0.001,0.1101,,0.3666,35.48
5,0.001,0.1064,,0.3661,35.91
,,,,,
Drop Non Stop Words  0.75,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.1306,,0.2115,158
2,0,0.1318,,0.2132,145.9
3,0,0.1279,,0.2117,147.4
4,0,0.1317,,0.2051,146.4
5,0,0.1239,,0.2054,157
,,,,,
Drop Non Stop Words  0.50,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.003,0.1184,,0.2759,60.74
2,0.004,0.123,,0.2801,61.88
3,0.003,0.134,,0.2716,60.1
4,0.002,0.1271,,0.2726,63.46
5,0.002,0.1175,,0.2737,63.34
,,,,,
Drop Non Stop Words  0.25,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.004,0.1268,,0.3617,39.54
2,0.004,0.1206,,0.3567,40.09
3,0.003,0.1191,,0.3584,39.77
4,0.005,0.1255,,0.3581,39.11
5,0.002,0.1197,,0.359,38.59
,,,,,
Context length 2,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.001,0.09424,,0.3389,56.75
2,0.001,0.08632,,0.3375,54.18
3,0.002,0.08236,,0.3379,53.39
4,0.002,0.1017,,0.3388,55.33
5,0.001,0.0873,,0.3381,53.61
,,,,,
Context length 4,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.002,0.1004,,0.3661,40.59
2,0.005,0.1016,,0.3657,40.36
3,0.003,0.1082,,0.368,40.31
4,0.002,0.1007,,0.3664,40.22
5,0.003,0.1127,,0.3653,41.01
,,,,,
Context length 6,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1119,,0.3749,35.1
2,0.005,0.1119,,0.3801,34.78
3,0.005,0.09511,,0.3676,35.86
4,0.002,0.09829,,0.3669,37.01
5,0.005,0.09756,,0.3761,34.54
,,,,,
Context length 8,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1182,,0.3819,32.45
2,0.006,0.1095,,0.3801,32.18
3,0.006,0.1102,,0.3792,31.53
4,0.005,0.1249,,0.3795,32.33
5,0.004,0.1134,,0.3848,32.42
,,,,,
Context length 10,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1266,,0.3839,30.96
2,0.006,0.1187,,0.3864,31.06
3,0.006,0.1145,,0.3857,31.33
4,0.004,0.1149,,0.3838,31.03
5,0.008,0.1237,,0.3861,30.39
,,,,,
Zipf drop 0-1,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.004,0.1103,,0.3568,43.52
2,0.003,0.1074,,0.3557,45.68
3,0.001,0.09834,,0.3555,45.8
4,0.003,0.1002,,0.3555,47.22
5,0,0.08891,,0.3246,63.07
,,,,,
Zipf drop 1-3,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.003,0.09967,,0.3606,59.08
2,0.006,0.104,,0.3578,58.14
3,0.007,0.1151,,0.364,60.76
4,0.007,0.1039,,0.3607,56.59
5,0.005,0.09741,,0.3505,62.79
,,,,,
Zipf drop 0-3,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.001,0.07948,,0.3238,91.75
2,0.001,0.09251,,0.327,90.85
3,0.004,0.08627,,0.3227,93.56
4,0.003,0.09786,,0.3256,94.41
5,0.004,0.08986,,0.3297,92.03
,,,,,
Zipf drop 500-1000,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1086,,0.3617,58.41
2,0.004,0.1036,,0.3583,59.22
3,0.005,0.1068,,0.3623,58.36
4,0.004,0.1164,,0.3615,60.63
5,0.005,0.09751,,0.3632,61.15
,,,,,
Zipf drop 1000-1500,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1151,,0.3776,43.17
2,0.004,0.1124,,0.374,41.48
3,0.006,0.1134,,0.3794,41.29
4,0.005,0.1147,,0.3759,40.78
5,0.004,0.11,,0.3766,43.39
,,,,,
Zipf drop 500-1500,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.004,0.1072,,0.3523,81.16
2,0.003,0.1019,,0.3511,71.35
3,0.004,0.09794,,0.3503,76.58
4,0.004,0.1029,,0.3527,73.29
5,0.004,0.09668,,0.3515,78.95
,,,,,
Back translation Russian,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.09071,,0.3047,212.7
2,0.002,0.08984,,0.3078,189.3
3,0.006,0.08813,,0.3079,190
4,0.001,0.09205,,0.3079,170.1
5,0,0.08129,,0.3071,202.5
,,,,,
,,,,,
Mutual Friends,,,,,
,,,,,
,,,,,
Baseline,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.0657,0.2238,,0.5253,13.2
2,0.06904,0.1934,,0.5071,13.48
3,0.07016,0.215,,0.5111,13.25
4,0.06904,0.213,,0.521,13.17
5,0.0657,0.2022,,0.5053,13.3
,,,,,
Drop Stop Words 0.75,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06682,0.1964,,0.4558,25.48
2,0.0657,0.1987,,0.4568,24.96
3,0.0657,0.1824,,0.4512,25.38
4,0.0657,0.1702,,0.4481,25.25
5,0.06682,0.1784,,0.4519,25.71
,,,,,
Drop Stop Words 0.50,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.0657,0.2209,,0.4936,16.74
2,0.0657,0.2058,,0.4784,17.15
3,0.0657,0.1914,,0.4759,17.27
4,0.0657,0.2076,,0.4844,17.32
5,0.0657,0.1837,,0.4677,17.4
,,,,,
Drop Stop Words 0.25,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.0657,0.1937,,0.4804,15.74
2,0.0657,0.1899,,0.4913,15.27
3,0.0657,0.1944,,0.4921,15.12
4,0.0657,0.1861,,0.4946,15.12
5,0.0657,0.2068,,0.5048,14.97
,,,,,
Drop Non Stop Words 0.75,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.1125,,0.4144,52.99
2,0,0.1139,,0.4132,49.25
3,0,0.09485,,0.4162,51.64
4,0.001114,0.1222,,0.425,49.6
5,0.001114,0.1113,,0.4063,46.79
,,,,,
Drop Non Stop Words 0.50,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.003341,0.1422,,0.463,23.56
2,0.003341,0.1395,,0.464,24.53
3,0,0.1099,,0.4312,24.94
4,0.001114,0.1043,,0.4489,24.15
5,0,0.1221,,0.4507,24.31
,,,,,
Drop Non Stop Words 0.25,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.004454,0.1105,,0.472,18.26
2,0.004454,0.1301,,0.4807,17.91
3,0.003341,0.1171,,0.4686,18.51
4,0.001114,0.1039,,0.4668,18.76
5,0.005568,0.1115,,0.4708,18.29
,,,,,
Context length 2,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.0657,0.1479,,0.4579,43.57
2,0.06682,0.1348,,0.4594,41.9
3,0.06682,0.1269,,0.4448,46.55
4,0.06682,0.1451,,0.4645,46.68
5,0.06682,0.1203,,0.442,40.36
,,,,,
Context length 4,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06682,0.1565,,0.4744,28.12
2,0.06793,0.16,,0.4873,25.03
3,0.06793,0.1417,,0.4535,27.03
4,0.06793,0.1535,,0.4656,29.14
5,0.06682,0.1498,,0.4714,32.21
,,,,,
Context length 6,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06904,0.1605,,0.483,23.2
2,0.06793,0.1691,,0.4885,22.05
3,0.07016,0.1542,,0.4714,23.25
4,0.06904,0.158,,0.4848,22.01
5,0.06904,0.1713,,0.4861,22.85
,,,,,
Context length 8,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06904,0.1902,,0.4942,18.43
2,0.07016,0.1786,,0.4906,19.25
3,0.06793,0.1733,,0.4808,18.31
4,0.06793,0.1878,,0.5019,18.66
5,0.06682,0.171,,0.4864,18.72
,,,,,
Context length 10,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06682,0.1641,,0.4831,16.82
2,0.06904,0.1745,,0.4998,16.75
3,0.07016,0.1759,,0.4938,16.34
4,0.06793,0.1966,,0.5022,16.32
5,0.06793,0.1719,,0.4884,16.84
,,,,,
Zipf drop 0-1,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.07127,0.1993,,0.4873,16.31
2,0.07127,0.1962,,0.4929,16.3
3,0.07127,0.1917,,0.4875,17.06
4,0.06793,0.2053,,0.4921,17.53
5,0.06904,0.2156,,0.4974,16.08
,,,,,
Zipf drop 1-3,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06904,0.1862,,0.4738,20.69
2,0.06904,0.1873,,0.4766,20.42
3,0.07238,0.1886,,0.4859,20.17
4,0.0657,0.1832,,0.4701,19.86
5,0.07016,0.1647,,0.4656,21.17
,,,,,
Zipf drop 0-3,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06793,0.2101,,0.4835,22.81
2,0.06793,0.1821,,0.4645,23.85
3,0.06904,0.1965,,0.4732,22.39
4,0.06904,0.1989,,0.4714,22.64
5,0.07016,0.2082,,0.4844,23.21
,,,,,
Zipf drop 300-600,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06793,0.2058,,0.4983,15
