Dialydialog,,,,,
,,,,,
,,,,,
Baseline,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.006,0.1269,0.002976,0.3988,27.13
2,0.005,0.1268,0.004063,0.3986,26.69
3,0.006,0.1233,0.003484,0.3962,26.84
4,0.009,0.1344,0.004549,0.3987,26.94
5,0.006,0.1269,0.002976,0.3988,27.13
,,,,,
Drop Stop Words  0.75,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.003,0.08303,0.0008294,0.2878,89.99
2,0,0.08976,0.001002,0.2842,97.4
3,0.001,0.08811,0.0007189,0.2882,90.52
4,0.004,0.09024,0.001514,0.2847,95.45
5,0.002,0.08719,0.00123,0.2836,100.3
,,,,,
Drop Stop Words  0.5,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.002,0.101,0.001701,0.3366,45.49
2,0.002,0.1044,0.001809,0.3355,45.45
3,0.002,0.1034,0.002507,0.3329,45.74
4,0.001,0.1095,0.001913,0.3378,45.27
5,0.001,0.1072,0.002041,0.3354,45.37
,,,,,
Drop Stop Words  0.25,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.002,0.1112,0.003132,0.3751,32.28
2,0.002,0.1109,0.002936,0.3751,32.48
3,0.001,0.1199,0.002259,0.3735,32.97
4,0.003,0.1081,0.003699,0.3702,32.84
5,0.001,0.1083,0.002854,0.3713,32.3
,,,,,
Drop Non Stop Words 0.75,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0,0.1338,1.15E-06,0.2236,125.1
2,0,0.13,8.65E-08,0.2219,127.1
3,0,0.127,4.16E-07,0.2188,125.6
4,0,0.1454,0.0002488,0.2186,135.8
5,0,0.1364,9.61E-07,0.2127,137.4
,,,,,
Drop Non Stop Words 0.5,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.003,0.1179,0.0005289,0.2791,58.32
2,0.002,0.1419,0.0002315,0.2797,59.16
3,0,0.1405,0.000838,0.2779,59.88
4,0.004,0.1298,0.0002956,0.2749,59.25
5,0.002,0.132,8.55E-06,0.2827,56.64
,,,,,
Drop Non Stop Words 0.25,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1278,0.002516,0.3586,37.4
2,0.005,0.1349,0.002786,0.3655,36.38
3,0.003,0.1303,0.001847,0.3635,37.98
4,0.007,0.133,0.004031,0.3613,36.61
5,0.005,0.127,0.001258,0.3525,37.93
,,,,,
Context length  2,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0,0.0794,0.001153,0.3438,51.77
2,0.001,0.09246,0.0008719,0.3412,52.01
3,0.001,0.1018,0.001607,0.3415,50.68
4,0.001,0.1014,0.001661,0.3384,53
5,0,0.05758,0.001733,0.3437,52.14
,,,,,
Context length  4,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.002,0.1048,0.0009802,0.3751,36.64
2,0.003,0.1006,0.0008483,0.3728,37.23
3,0.002,0.09885,0.001326,0.3733,37.17
4,0.002,0.1013,0.001399,0.3693,37.64
5,0.002,0.1024,0.0009369,0.373,37.64
,,,,,
Context length  6,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.117,0.004086,0.3839,31.63
2,0.006,0.1178,0.001453,0.3823,32.51
3,0.006,0.119,0.004119,0.3861,32.89
4,0.006,0.1178,0.001453,0.3823,32.51
5,0.001,0.1091,0.0016,0.3851,32.3
,,,,,
Context length  8,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.007,0.1231,0.003095,0.394,29.47
2,0.006,0.1213,0.00364,0.3926,29.73
3,0.004,0.1274,0.00296,0.3928,28.81
4,0.004,0.1256,0.001875,0.3882,29.96
5,0.004,0.1215,0.004084,0.395,29.94
,,,,,
Context length  10,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1235,0.003319,0.396,27.85
2,0.005,0.123,0.00242,0.3916,28.02
3,0.005,0.1256,0.00363,0.3966,27.71
4,0.006,0.1296,0.004015,0.3938,28.61
5,0.005,0.1244,0.003714,0.395,28.12
,,,,,
Zipf drop 0-1,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0,0.1023,0.00106,0.3563,44.87
2,0.003,0.1112,0.0009789,0.3678,41.53
3,0.001,0.101,0.002241,0.3631,42.84
4,0.002,0.1092,0.002723,0.363,41.19
5,0.003,0.1054,0.002705,0.3661,41.64
,,,,,
Zipf drop 1-3,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.004,0.1228,0.002717,0.3653,56.24
2,0.006,0.1129,0.002151,0.3691,54.62
3,0.009,0.1205,0.002644,0.3694,57.77
4,0.003,0.1108,0.002043,0.3704,52.89
5,0.007,0.1179,0.003507,0.3678,55.66
,,,,,
Zipf drop 0-3,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.002,0.09257,0.000789,0.3345,83.16
2,0.002,0.09758,0.002089,0.3308,88.54
3,0.001,0.09694,0.001618,0.33,96
4,0.002,0.0945,0.002893,0.3326,89.62
5,0.001,0.09265,0.0008078,0.3339,86.38
,,,,,
Zipf drop 500-1000,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.004,0.1223,0.003755,0.3697,50.78
2,0.005,0.1269,0.002164,0.375,52.4
3,0.006,0.1144,0.003187,0.3761,51.8
4,0.007,0.1225,0.001981,0.3742,52.33
5,0.005,0.1163,0.001106,0.3709,54.41
,,,,,
Zipf drop 1000-1500,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.004,0.1234,0.001849,0.3896,38.32
2,0.005,0.1256,0.001484,0.3874,38.88
3,0.006,0.1263,0.003169,0.3855,39.47
4,0.005,0.1143,0.002483,0.3885,38.9
5,0.008,0.1239,0.002487,0.3883,38.35
,,,,,
Zipf drop 500-1500,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.003,0.1107,0.001642,0.3609,74.72
2,0.003,0.1184,0.001964,0.3626,73.28
3,0.005,0.1088,0.001535,0.3574,69.19
4,0.003,0.1147,0.001156,0.3594,72.41
5,0.005,0.1013,0.001597,0.3536,73.1
,,,,,
Backtranslation Russian,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.003,0.09828,0.0001719,0.3137,193.2
2,0.004,0.101,0.0001167,0.3102,182.4
3,0.002,0.09652,2.31E-06,0.3099,164.7
4,0.003,0.1036,0.0009232,0.316,179.2
5,0.004,0.0926,2.12E-06,0.3091,145.4
,,,,,
,,,,,
Mutual Friends,,,,,
,,,,,
,,,,,
Baseline,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.1102,0.2903,0.09512,0.5761,10.34
2,0.1136,0.2912,0.1077,0.5785,10.45
3,0.1147,0.2812,0.09626,0.5807,10.13
4,0.1102,0.2819,0.09513,0.5764,10.06
5,0.118,0.2873,0.106,0.5784,10.12
,,,,,
Drop Stop Words  0.75,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.09688,0.2746,0.09012,0.5078,20.42
2,0.09354,0.2671,0.08459,0.5011,20.3
3,0.1091,0.2757,0.1028,0.5077,19.46
4,0.09243,0.2751,0.09074,0.5062,20.18
5,0.1024,0.2766,0.1037,0.5116,20.1
,,,,,
Drop Stop Words  0.5,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.09577,0.284,0.094,0.5354,13.42
2,0.1002,0.2865,0.09937,0.5351,13.5
3,0.09131,0.2662,0.09703,0.5334,13.82
4,0.1013,0.2802,0.09464,0.5306,13.65
5,0.1102,0.2801,0.1006,0.5284,13.72
,,,,,
Drop Stop Words  0.25,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.1069,0.2932,0.1015,0.5555,11.48
2,0.09688,0.2817,0.09686,0.5553,11.86
3,0.1002,0.2917,0.09813,0.5583,11.75
4,0.09911,0.283,0.1013,0.5583,12.03
5,0.1102,0.299,0.1041,0.5632,11.76
,,,,,
Drop Non Stop Words 0.75,,,,,
