DailyDialog,,,,,
,,,,,
,,,,,
Baseline,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.001,0.1067,0.000967,0.3731,33.2
2,0.004,0.1177,0.003691,0.3704,32.03
3,0.002,0.1149,0.001274,0.3743,32.95
4,0.002,0.1321,0.003002,0.3679,34.03
5,0.003,0.1137,0.001492,0.374,33.92
,,,,,
Drop Stop Words 0.75,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.001,0.06154,1.82E-06,0.2551,139
2,0,0.06683,1.84E-06,0.261,145.5
3,0.002,0.07114,0.0007812,0.254,159.9
4,0,0.07208,0.0003094,0.2608,126.4
5,0.001,0.06944,3.76E-06,0.2634,132
,,,,,
Drop Stop Words 0.50,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.097,0.00173,0.3177,54.16
2,0.001,0.1019,0.0007439,0.3156,55.04
3,0.001,0.09162,0.001431,0.3156,55.24
4,0.002,0.09236,0.00241,0.3104,57.51
5,0,0.08846,0.001667,0.3125,59.78
,,,,,
Drop Stop Words 0.25,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.003,0.1098,0.001407,0.3444,39.86
2,0.003,0.1069,0.001605,0.342,40.28
3,0,0.1124,0.001413,0.3464,43.05
4,0.002,0.103,0.003707,0.3478,40.04
5,0.003,0.1049,0.00138,0.3452,42.26
,,,,,
Drop Non Stop Words 0.75,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.1195,1.85E-07,0.2142,131.1
2,0,0.1196,2.10E-07,0.2152,134.7
3,0,0.1243,0.0001716,0.2108,127
4,0,0.1245,1.34E-05,0.2103,132.8
5,0,0.1031,1.44E-06,0.2175,132.2
,,,,,
Drop Non Stop Words 0.5,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.105,1.66E-06,0.2709,63.07
2,0,0.1188,1.46E-06,0.2671,65.09
3,0,0.1183,1.03E-06,0.2612,63.87
4,0.001,0.1123,0.001287,0.2759,62.25
5,0.001,0.1142,1.24E-06,0.2689,62.79
,,,,,
Drop Non Stop Words 0.25,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.1002,0.001828,0.3327,42.33
2,0.001,0.1106,0.002117,0.3351,43.38
3,0.001,0.1147,0.0009607,0.3377,42.96
4,0.002,0.1146,0.001601,0.3331,43.29
5,0.002,0.1122,0.004283,0.3381,42.61
,,,,,
Context length 2,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.001,0.07437,0.0007789,0.2927,75.22
2,0.001,0.07893,0.001364,0.3034,73.37
3,0,0.09769,0.00155,0.2966,74.84
4,0.001,0.06965,0.0005854,0.293,74.42
5,0.001,0.07571,0.0014,0.2955,75.54
,,,,,
Context length 4,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.09822,0.002204,0.3275,49.86
2,0,0.1034,0.0003966,0.3239,49.9
3,0.002,0.09943,0.0007951,0.3245,50.73
4,0,0.09688,0.001025,0.321,51.99
5,0,0.09582,0.001628,0.3333,49.72
,,,,,
Context length 6,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.001,0.1058,0.002599,0.3399,43.43
2,0.001,0.1015,0.000433,0.3458,43.48
3,0.002,0.1155,0.002367,0.3484,41.64
4,0.001,0.1037,0.001104,0.3424,43.04
5,0.004,0.1127,0.003297,0.3499,43
,,,,,
Context length 8,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.001,0.1008,0.001919,0.3549,37.93
2,0.002,0.1028,0.001437,0.3576,37.76
3,0.004,0.1162,0.0006624,0.3605,37.11
4,0.001,0.1108,0.0005127,0.3556,37.48
5,0.002,0.1041,0.001923,0.3632,37.49
,,,,,
Context length 10,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.003,0.1087,0.000803,0.3622,36.36
2,0.004,0.114,0.00121,0.3649,35.96
3,0.001,0.115,0.001609,0.3634,36.64
