Experiment Name: Context Change 2,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.055,0.2812,0.1216,0.3936,1124
2,0.056,0.2549,0.1604,0.4113,151.1
3,0.055,0.3069,0.1232,0.4033,171.4
4,0.055,0.2515,0.1221,0.3982,11060
5,0.056,0.2969,0.1237,0.3978,295.4
Experiment Name: Context Change 4,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.14,0.3212,0.2243,0.4449,181.4
2,0.142,0.3087,0.2229,0.4272,204.6
3,0.14,0.331,0.2061,0.4401,223.5
4,0.14,0.3421,0.2061,0.4476,310.5
5,0.14,0.315,0.2061,0.4586,833.9
Experiment Name: Context Change 6,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.145,0.3709,0.2159,0.5622,139.9
2,0.166,0.4113,0.2588,0.5823,35.03
3,0.186,0.428,0.2828,0.5878,34.74
4,0.184,0.4342,0.2682,0.5785,27.79
5,0.202,0.4266,0.2783,0.6183,42.37
Experiment Name: Context Change 8,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.313,0.5186,0.3823,0.6875,12.95
2,0.372,0.5719,0.4313,0.7322,15.4
3,0.314,0.5256,0.4172,0.6914,9.339
4,0.323,0.5484,0.4172,0.7057,14.19
5,0.295,0.5141,0.3827,0.7067,10.04
Experiment Name: Context Change 10,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.364,0.5831,0.4599,0.7178,15.49
2,0.369,0.5898,0.4723,0.7165,12.38
3,0.35,0.5541,0.4194,0.7091,13.77
4,0.367,0.6008,0.4703,0.7009,11.85
5,0.381,0.5973,0.4495,0.7103,11.41
