Experiment Name: context_change_2,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.056,0.2023,0.09941,0.4023,47.03
2,0.081,0.2667,0.1839,0.47,50.3
3,0.055,0.2145,0.1086,0.4256,47.68
4,0.056,0.2074,0.1093,0.3928,64.38
5,0.056,0.2064,0.1008,0.379,36.6
Experiment Name: context_change_4,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.155,0.3503,0.256,0.4705,37.52
2,0.276,0.457,0.3938,0.5272,30.98
3,0.179,0.3701,0.284,0.4908,53.16
4,0.24,0.4246,0.3444,0.5139,24.67
5,0.241,0.4493,0.3642,0.5369,23.12
Experiment Name: context_change_6,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.287,0.4883,0.3813,0.63,14.58
2,0.348,0.536,0.4706,0.6749,13.99
3,0.285,0.4998,0.4175,0.6497,13.59
4,0.286,0.4857,0.396,0.6496,12.93
5,0.212,0.3634,0.2768,0.611,19.84
Experiment Name: context_change_8,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.335,0.5618,0.4533,0.7445,7.325
2,0.471,0.6236,0.5653,0.7513,6.008
3,0.298,0.482,0.345,0.7194,6.942
4,0.476,0.6477,0.5855,0.7757,5.937
5,0.444,0.6116,0.5517,0.7446,6.047
Experiment Name: context_change_10,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.489,0.667,0.5898,0.7681,5.916
2,0.596,0.7286,0.6834,0.7971,4.97
3,0.585,0.7277,0.6733,0.7764,6.046
4,0.379,0.5639,0.4747,0.7375,6.779
5,0.51,0.6652,0.5965,0.781,5.645
