Experiment Name: Context length 2,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.001,0.09424,,0.3389,56.75
2,0.001,0.08632,,0.3375,54.18
3,0.002,0.08236,,0.3379,53.39
4,0.002,0.1017,,0.3388,55.33
5,0.001,0.0873,,0.3381,53.61
Experiment Name: Context length 4,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.002,0.1004,,0.3661,40.59
2,0.005,0.1016,,0.3657,40.36
3,0.003,0.1082,,0.368,40.31
4,0.002,0.1007,,0.3664,40.22
5,0.003,0.1127,,0.3653,41.01
Experiment Name: Context length 6,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1119,,0.3749,35.1
2,0.005,0.1119,,0.3801,34.78
3,0.005,0.09511,,0.3676,35.86
4,0.002,0.09829,,0.3669,37.01
5,0.005,0.09756,,0.3761,34.54
Experiment Name: Context length 8,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1182,,0.3819,32.45
2,0.006,0.1095,,0.3801,32.18
3,0.006,0.1102,,0.3792,31.53
4,0.005,0.1249,,0.3795,32.33
5,0.004,0.1134,,0.3848,32.42
Experiment Name: Context length 10,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1266,,0.3839,30.96
2,0.006,0.1187,,0.3864,31.06
3,0.006,0.1145,,0.3857,31.33
4,0.004,0.1149,,0.3838,31.03
5,0.008,0.1237,,0.3861,30.39
