Experiment Name: Context Change 2,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0,0.0794,0.001153,0.3438,51.77
2,0.001,0.09246,0.0008719,0.3412,52.01
3,0.001,0.1018,0.001607,0.3415,50.68
4,0.001,0.1014,0.001661,0.3384,53
5,0,0.05758,0.001733,0.3437,52.14
Experiment Name: Context Change 4,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.002,0.1048,0.0009802,0.3751,36.64
2,0.003,0.1006,0.0008483,0.3728,37.23
3,0.002,0.09885,0.001326,0.3733,37.17
4,0.002,0.1013,0.001399,0.3693,37.64
5,0.002,0.1024,0.0009369,0.373,37.64
Experiment Name: Context Change 6,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.117,0.004086,0.3839,31.63
2,0.006,0.1178,0.001453,0.3823,32.51
3,0.006,0.119,0.004119,0.3861,32.89
4,0.006,0.1178,0.001453,0.3823,32.51
5,0.001,0.1091,0.0016,0.3851,32.3
Experiment Name: Context Change 8,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.007,0.1231,0.003095,0.394,29.47
2,0.006,0.1213,0.00364,0.3926,29.73
3,0.004,0.1274,0.00296,0.3928,28.81
4,0.004,0.1256,0.001875,0.3882,29.96
5,0.004,0.1215,0.004084,0.395,29.94
Experiment Name: Context Change 10,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1235,0.003319,0.396,27.85
2,0.005,0.123,0.00242,0.3916,28.02
3,0.005,0.1256,0.00363,0.3966,27.71
4,0.006,0.1296,0.004015,0.3938,28.61
5,0.005,0.1244,0.003714,0.395,28.12
