Experiment Name: Context length 2,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.0657,0.1479,,0.4579,43.57
2,0.06682,0.1348,,0.4594,41.9
3,0.06682,0.1269,,0.4448,46.55
4,0.06682,0.1451,,0.4645,46.68
5,0.06682,0.1203,,0.442,40.36
Experiment Name: Context length 4,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06682,0.1565,,0.4744,28.12
2,0.06793,0.16,,0.4873,25.03
3,0.06793,0.1417,,0.4535,27.03
4,0.06793,0.1535,,0.4656,29.14
5,0.06682,0.1498,,0.4714,32.21
Experiment Name: Context length 6,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06904,0.1605,,0.483,23.2
2,0.06793,0.1691,,0.4885,22.05
3,0.07016,0.1542,,0.4714,23.25
4,0.06904,0.158,,0.4848,22.01
5,0.06904,0.1713,,0.4861,22.85
Experiment Name: Context length 8,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06904,0.1902,,0.4942,18.43
2,0.07016,0.1786,,0.4906,19.25
3,0.06793,0.1733,,0.4808,18.31
4,0.06793,0.1878,,0.5019,18.66
5,0.06682,0.171,,0.4864,18.72
Experiment Name: Context length 10,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06682,0.1641,,0.4831,16.82
2,0.06904,0.1745,,0.4998,16.75
3,0.07016,0.1759,,0.4938,16.34
4,0.06793,0.1966,,0.5022,16.32
5,0.06793,0.1719,,0.4884,16.84
