Baseline,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.975,0.9973,0.9401,0.9968,1.035
2,0.975,0.9972,0.9403,0.9968,1.033
3,0.972,0.997,0.9398,0.9965,1.034
4,0.978,0.9977,0.941,0.9972,1.034
5,0.976,0.9975,0.9412,0.997,1.03
Drop Stop Words  0.75,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.031,0.5939,0.128,0.502,1652
2,0.03,0.6179,0.1466,0.5143,1162
3,0.039,0.618,0.1624,0.5209,887
4,0.012,0.5774,0.1235,0.5174,675.3
5,0.014,0.6232,0.1376,0.5072,428.6
Drop Stop Words  0.5,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.034,0.6758,0.1076,0.5583,93.35
2,0.03,0.6785,0.2416,0.5891,40.61
3,0.03,0.6765,0.1673,0.5495,73.31
4,0.03,0.6808,0.2396,0.566,43.4
5,0.039,0.6797,0.1292,0.5755,90.5
Drop Stop Words  0.25,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.085,0.7324,0.3949,0.6754,11.59
2,0.043,0.7146,0.2996,0.6801,9.354
3,0.085,0.7357,0.3768,0.6881,5.605
4,0.035,0.7203,0.3175,0.6869,5.907
5,0.034,0.729,0.3203,0.6983,7.941
Drop Non Stop Words 0.75,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.146,0.7135,0.2153,0.6343,124.9
2,0.141,0.681,0.2263,0.5898,195.9
3,0.12,0.6582,0.1945,0.6357,76.08
4,0.147,0.72,0.237,0.6388,78.69
5,0.147,0.684,0.234,0.6087,118.3
Drop Non Stop Words 0.5,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.085,0.7362,0.3732,0.7583,6.561
2,0.103,0.7519,0.3907,0.7473,6.232
3,0.078,0.7298,0.3874,0.7216,9.375
4,0.097,0.7443,0.408,0.7408,6.764
5,0.085,0.7444,0.3622,0.7488,8.55
Drop Non Stop Words 0.25,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.067,0.741,0.4158,0.8216,3.072
2,0.146,0.7688,0.5452,0.8392,2.826
3,0.099,0.7614,0.4975,0.8262,2.765
4,0.108,0.7776,0.3821,0.8002,2.576
5,0.089,0.765,0.4939,0.8177,2.808
Backtranslation Russian,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.411,0.6108,0.4427,0.8032,736.4
2,0.366,0.6252,0.4626,0.7931,675.6
3,0.403,0.6108,0.4372,0.8083,566.5
4,0.408,0.6018,0.4456,0.8001,776.9
5,0.345,0.5573,0.4091,0.7849,398.5
