Experiment - Baseline
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.947,0.9902,0.9276,0.9933,1.04
2,0.935,0.9862,0.9244,0.9918,1.044
3,0.945,0.9854,0.9268,0.993,1.038
4,0.937,0.9914,0.932,0.992,1.039
5,0.931,0.9896,0.925,0.9913,1.042
Experiment - DS - 0.75
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.3672,0.02922,0.5057,18.99
2,0.005,0.4492,0.05306,0.4873,20.76
3,0.002,0.3782,0.05079,0.4778,19.58
4,0.006,0.3211,0.03486,0.4934,20.61
5,0.004,0.403,0.04861,0.527,19.29
Experiment - DS - 0.5
RUN ID,acc,f1,belu,token_acc,ppl
1,0.006,0.4747,0.1233,0.6062,6.574
2,0.02,0.4109,0.08741,0.5903,6.523
3,0.008,0.4759,0.07433,0.5834,6.898
4,0.014,0.506,0.07542,0.5955,5.985
5,0.022,0.4965,0.1457,0.611,5.738
Experiment - DS - 0.25
RUN ID,acc,f1,belu,token_acc,ppl
1,0.047,0.501,0.1928,0.6727,3.542
2,0.039,0.4844,0.2225,0.6975,3.313
3,0.04,0.5392,0.2115,0.6865,3.798
4,0.194,0.8389,0.4895,0.7473,3.664
5,0.027,0.5696,0.1996,0.7131,3.381
Experiment Name: drop_non_stop_words_0.75,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.091,0.4705,0.09833,0.5918,17.24
2,0.072,0.5354,0.1308,0.5925,15.02
3,0.116,0.5194,0.1494,0.6101,16.24
4,0.15,0.6383,0.198,0.6516,18.23
5,0.114,0.5036,0.1056,0.6133,13.73
Experiment Name: drop_non_stop_words_0.5,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.265,0.7978,0.5064,0.8126,3.327
2,0.286,0.8237,0.5085,0.8016,3.187
3,0.246,0.8094,0.4613,0.8175,3.286
4,0.164,0.7885,0.4271,0.803,3.44
5,0.255,0.8243,0.4463,0.7971,3.34
Experiment Name: drop_non_stop_words_0.25,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.353,0.8583,0.6521,0.8676,2.081
2,0.354,0.8858,0.686,0.8814,2.204
3,0.354,0.902,0.67,0.8598,2.056
4,0.341,0.8835,0.6225,0.8517,2.206
5,0.327,0.9118,0.727,0.8905,1.855
Experiment - BT - Russian
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.329,0.5795,0.4085,0.7923,8.159
2,0.331,0.5952,0.3987,0.7837,6.148
3,0.339,0.5484,0.3875,0.7726,7.3
4,0.381,0.6345,0.4424,0.8286,4.794
5,0.361,0.5539,0.4278,0.7981,5.517
