Experiment Name: Baseline,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.006,0.1176,,0.3867,29.74
2,0.005,0.1263,,0.3867,29.27
3,0.005,0.1131,,0.3871,29.52
4,0.006,0.1208,,0.3881,28.95
5,0.006,0.1202,,0.3876,29.32
Experiment Name: Drop words 0.75,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.004,0.08622,,0.2788,104.2
2,0.001,0.08813,,0.2819,104.8
3,0.003,0.08602,,0.2836,107.5
4,0.002,0.07692,,0.2775,106.8
5,0.001,0.07439,,0.2809,100.6
Experiment Name: Drop words 0.50,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.002,0.09877,,0.3364,46.35
2,0.001,0.1008,,0.3333,47.52
3,0.002,0.1001,,0.3334,46.25
4,0.003,0.09953,,0.3356,47.37
5,0.002,0.1151,,0.3318,47.84
Experiment Name: Drop words 0.25,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.003,0.1054,,0.3661,35.59
2,0.002,0.11,,0.3652,35.73
3,0.001,0.107,,0.3666,35.43
4,0.001,0.1101,,0.3666,35.48
5,0.001,0.1064,,0.3661,35.91
Experiment Name: drop_non_stop_words_0.75,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.1306,,0.2115,158
2,0,0.1318,,0.2132,145.9
3,0,0.1279,,0.2117,147.4
4,0,0.1317,,0.2051,146.4
5,0,0.1239,,0.2054,157
Experiment Name: drop_non_stop_words_0.50,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.003,0.1184,,0.2759,60.74
2,0.004,0.123,,0.2801,61.88
3,0.003,0.134,,0.2716,60.1
4,0.002,0.1271,,0.2726,63.46
5,0.002,0.1175,,0.2737,63.34
Experiment Name: drop_non_stop_words_0.25,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.004,0.1268,,0.3617,39.54
2,0.004,0.1206,,0.3567,40.09
3,0.003,0.1191,,0.3584,39.77
4,0.005,0.1255,,0.3581,39.11
5,0.002,0.1197,,0.359,38.59
Back translation Russian,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.09071,,0.3047,212.7
2,0.002,0.08984,,0.3078,189.3
3,0.006,0.08813,,0.3079,190
4,0.001,0.09205,,0.3079,170.1
5,0,0.08129,,0.3071,202.5
