Baseline,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.006,0.1269,0.002976,0.3988,27.13
2,0.005,0.1268,0.004063,0.3986,26.69
3,0.006,0.1233,0.003484,0.3962,26.84
4,0.009,0.1344,0.004549,0.3987,26.94
5,0.006,0.1269,0.002976,0.3988,27.13
Drop Stop Words  0.75,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.003,0.08303,0.0008294,0.2878,89.99
2,0,0.08976,0.001002,0.2842,97.4
3,0.001,0.08811,0.0007189,0.2882,90.52
4,0.004,0.09024,0.001514,0.2847,95.45
5,0.002,0.08719,0.00123,0.2836,100.3
Drop Stop Words  0.5,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.002,0.101,0.001701,0.3366,45.49
2,0.002,0.1044,0.001809,0.3355,45.45
3,0.002,0.1034,0.002507,0.3329,45.74
4,0.001,0.1095,0.001913,0.3378,45.27
5,0.001,0.1072,0.002041,0.3354,45.37
Drop Stop Words  0.25,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.002,0.1112,0.003132,0.3751,32.28
2,0.002,0.1109,0.002936,0.3751,32.48
3,0.001,0.1199,0.002259,0.3735,32.97
4,0.003,0.1081,0.003699,0.3702,32.84
5,0.001,0.1083,0.002854,0.3713,32.3
Drop Non Stop Words 0.75,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0,0.1338,1.15E-06,0.2236,125.1
2,0,0.13,8.65E-08,0.2219,127.1
3,0,0.127,4.16E-07,0.2188,125.6
4,0,0.1454,0.0002488,0.2186,135.8
5,0,0.1364,9.61E-07,0.2127,137.4
Drop Non Stop Words 0.5,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.003,0.1179,0.0005289,0.2791,58.32
2,0.002,0.1419,0.0002315,0.2797,59.16
3,0,0.1405,0.000838,0.2779,59.88
4,0.004,0.1298,0.0002956,0.2749,59.25
5,0.002,0.132,8.55E-06,0.2827,56.64
Drop Non Stop Words 0.25,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1278,0.002516,0.3586,37.4
2,0.005,0.1349,0.002786,0.3655,36.38
3,0.003,0.1303,0.001847,0.3635,37.98
4,0.007,0.133,0.004031,0.3613,36.61
5,0.005,0.127,0.001258,0.3525,37.93
Backtranslation Russian,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.003,0.09828,0.0001719,0.3137,193.2
2,0.004,0.101,0.0001167,0.3102,182.4
3,0.002,0.09652,2.31E-06,0.3099,164.7
4,0.003,0.1036,0.0009232,0.316,179.2
5,0.004,0.0926,2.12E-06,0.3091,145.4
