Experiment - Baseline
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.001,0.1067,0.000967,0.3731,33.2
2,0.004,0.1177,0.003691,0.3704,32.03
3,0.002,0.1149,0.001274,0.3743,32.95
4,0.002,0.1321,0.003002,0.3679,34.03
5,0.003,0.1137,0.001492,0.374,33.92
Experiment - DS-0.75
RUN ID,acc,f1,belu,token_acc,ppl
1,0.001,0.06154,1.82E-06,0.2551,139
2,0,0.06683,1.84E-06,0.261,145.5
3,0.002,0.07114,0.0007812,0.254,159.9
4,0,0.07208,0.0003094,0.2608,126.4
5,0.001,0.06944,3.76E-06,0.2634,132
Experiment - DS-0.5
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.097,0.00173,0.3177,54.16
2,0.001,0.1019,0.0007439,0.3156,55.04
3,0.001,0.09162,0.001431,0.3156,55.24
4,0.002,0.09236,0.00241,0.3104,57.51
5,0,0.08846,0.001667,0.3125,59.78
Experiment - DS-0.25
RUN ID,acc,f1,belu,token_acc,ppl
1,0.003,0.1098,0.001407,0.3444,39.86
2,0.003,0.1069,0.001605,0.342,40.28
3,0,0.1124,0.001413,0.3464,43.05
4,0.002,0.103,0.003707,0.3478,40.04
5,0.003,0.1049,0.00138,0.3452,42.26
Experiment Name: drop_non_stop_words_0.75,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.1195,1.85E-07,0.2142,131.1
2,0,0.1196,2.10E-07,0.2152,134.7
3,0,0.1243,0.0001716,0.2108,127
4,0,0.1245,1.34E-05,0.2103,132.8
5,0,0.1031,1.44E-06,0.2175,132.2
Experiment Name: drop_non_stop_words_0.5,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.105,1.66E-06,0.2709,63.07
2,0,0.1188,1.46E-06,0.2671,65.09
3,0,0.1183,1.03E-06,0.2612,63.87
4,0.001,0.1123,0.001287,0.2759,62.25
5,0.001,0.1142,1.24E-06,0.2689,62.79
Experiment Name: drop_non_stop_words_0.25,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.1002,0.001828,0.3327,42.33
2,0.001,0.1106,0.002117,0.3351,43.38
3,0.001,0.1147,0.0009607,0.3377,42.96
4,0.002,0.1146,0.001601,0.3331,43.29
5,0.002,0.1122,0.004283,0.3381,42.61
Experiment - BT - Russian
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.001,0.08633,0.0003155,0.2841,109.8
2,0.002,0.09705,0.0004746,0.288,121.2
3,0.001,0.08509,0.001681,0.2824,108.2
4,0.001,0.1041,0.001823,0.2818,129.9
5,0,0.08733,9.29E-05,0.2884,117.1
