Experiment - Baseline
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.07127,0.2521,0.07326,0.541,12.59
2,0.06793,0.2494,0.06591,0.5417,12.58
3,0.08575,0.2607,0.06948,0.5423,12.5
4,0.08018,0.2463,0.07967,0.5415,12.3
5,0.06125,0.2406,0.07714,0.5417,12.36
Experiment - DS - 0.75
RUN ID,acc,f1,belu,token_acc,ppl
1,0.08797,0.2498,0.08869,0.4851,33.36
2,0.07906,0.2501,0.07593,0.4801,29
3,0.08018,0.249,0.0845,0.4825,33.12
4,0.07906,0.2478,0.07707,0.4775,25.1
5,0.08463,0.256,0.08291,0.4809,30.04
Experiment - DS - 0.5
RUN ID,acc,f1,belu,token_acc,ppl
1,0.09243,0.2615,0.08909,0.5054,17.92
2,0.0902,0.2605,0.08257,0.4997,19.73
3,0.07684,0.2473,0.06962,0.5031,18.24
4,0.08241,0.2648,0.08506,0.5049,18.6
5,0.09243,0.2705,0.08552,0.5093,15.95
Experiment - DS - 0.25
RUN ID,acc,f1,belu,token_acc,ppl
1,0.08129,0.2719,0.08129,0.5253,14.64
2,0.08797,0.2688,0.0871,0.5259,14.83
3,0.07016,0.2603,0.0693,0.5256,15.02
4,0.07238,0.2596,0.07266,0.5144,15.35
5,0.07795,0.2463,0.07592,0.5285,15.2
Experiment Name: drop_non_stop_words_0.75,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.001114,0.1727,0.05247,0.4567,39.11
2,0.01002,0.1469,0.04857,0.4563,41.4
3,0.01782,0.181,0.06903,0.466,39.43
4,0.01225,0.1345,0.05969,0.4684,39.73
5,0.0167,0.1859,0.07052,0.4663,38.18
Experiment Name: drop_non_stop_words_0.5,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.02339,0.1951,0.08776,0.4869,21.7
2,0.008909,0.1812,0.05196,0.4776,22.4
3,0.02116,0.1921,0.07508,0.4954,20.72
4,0.02004,0.1908,0.07522,0.4945,21.54
5,0.01893,0.1888,0.08098,0.4909,20.01
Experiment Name: drop_non_stop_words_0.25,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.01225,0.1752,0.06233,0.5094,16.68
2,0.02116,0.1916,0.07162,0.5025,17.22
3,0.02116,0.2001,0.07076,0.51,17.37
4,0.01893,0.2009,0.08078,0.5108,16.84
5,0.01559,0.1909,0.06893,0.505,17.48
Experiment - BT - Russian
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.04566,0.215,0.06544,0.3691,146.1
2,0.04454,0.2029,0.04915,0.3747,127.8
3,0.05122,0.2224,0.06586,0.3657,178.8
4,0.06459,0.2151,0.07321,0.3747,156.5
5,0.05902,0.2289,0.07277,0.3713,144.8
