Experiment Name: zipf_drop_0_1,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.321,0.7863,0.5876,0.8704,4.566
2,0.321,0.7889,0.5769,0.8705,4.035
3,0.327,0.797,0.5719,0.8727,3.309
4,0.336,0.7889,0.5741,0.8772,3.399
5,0.337,0.7873,0.5658,0.8718,4.198
Experiment Name: zipf_drop_0_2,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.286,0.7832,0.4923,0.8346,10.57
2,0.291,0.7836,0.4991,0.8107,13.09
3,0.266,0.7597,0.4959,0.7985,9.13
4,0.276,0.7655,0.465,0.8086,12.26
5,0.282,0.7733,0.4664,0.8218,10.88
Experiment Name: zipf_drop_36_44,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.537,0.7486,0.608,0.8875,2.166
2,0.533,0.7623,0.6002,0.8867,2.095
3,0.547,0.7583,0.6373,0.879,2.268
4,0.545,0.7773,0.6688,0.8904,1.868
5,0.532,0.764,0.6512,0.8888,1.934
Experiment Name: zipf_drop_36_55,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.537,0.7615,0.6546,0.8822,2.051
2,0.525,0.7457,0.6161,0.8727,2.278
3,0.547,0.7663,0.6388,0.889,2.345
4,0.519,0.743,0.6391,0.8793,2.18
5,0.546,0.7627,0.6375,0.8813,2.193
