Experiment Name: Zipf Drop 0 1,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.336,0.8153,0.6408,0.8731,4.252
2,0.348,0.8203,0.6445,0.8741,3.796
3,0.339,0.7957,0.5977,0.876,5.637
4,0.354,0.8243,0.6488,0.8808,4.987
5,0.34,0.8072,0.6328,0.8647,5.231
Experiment Name: Zipf Drop 0 2,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.283,0.7862,0.5213,0.8216,9.02
2,0.287,0.7942,0.5318,0.8131,10.99
3,0.277,0.7826,0.505,0.8015,13.65
4,0.284,0.793,0.5111,0.8257,9.729
5,0.251,0.7661,0.4894,0.8313,11.47
Experiment Name: Zipf Drop 36 44,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.663,0.8463,0.7733,0.9306,2.099
2,0.565,0.8142,0.6988,0.9071,1.905
3,0.577,0.8169,0.7063,0.906,2.028
4,0.565,0.8102,0.6914,0.9077,2.08
5,0.545,0.7826,0.6685,0.8918,2.128
Experiment Name: Zipf Drop 36 55,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.572,0.8025,0.7026,0.9116,2.262
2,0.709,0.8757,0.8399,0.9406,2.073
3,0.699,0.8576,0.8192,0.9343,2.103
4,0.531,0.7594,0.6522,0.8973,1.903
5,0.553,0.7727,0.6742,0.8827,1.936
