Experiment Name: Zipf drop 0-1,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.004,0.1103,,0.3568,43.52
2,0.003,0.1074,,0.3557,45.68
3,0.001,0.09834,,0.3555,45.8
4,0.003,0.1002,,0.3555,47.22
5,0,0.08891,,0.3246,63.07
Experiment Name: Zipf drop 1-3,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.003,0.09967,,0.3606,59.08
2,0.006,0.104,,0.3578,58.14
3,0.007,0.1151,,0.364,60.76
4,0.007,0.1039,,0.3607,56.59
5,0.005,0.09741,,0.3505,62.79
Experiment Name: Zipf drop 0-3,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.001,0.07948,,0.3238,91.75
2,0.001,0.09251,,0.327,90.85
3,0.004,0.08627,,0.3227,93.56
4,0.003,0.09786,,0.3256,94.41
5,0.004,0.08986,,0.3297,92.03
Experiment Name: Zipf drop 500-1000,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1086,,0.3617,58.41
2,0.004,0.1036,,0.3583,59.22
3,0.005,0.1068,,0.3623,58.36
4,0.004,0.1164,,0.3615,60.63
5,0.005,0.09751,,0.3632,61.15
Experiment Name: Zipf drop 1000-1500,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.005,0.1151,,0.3776,43.17
2,0.004,0.1124,,0.374,41.48
3,0.006,0.1134,,0.3794,41.29
4,0.005,0.1147,,0.3759,40.78
5,0.004,0.11,,0.3766,43.39
Experiment Name: Zipf drop 500-1500,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.004,0.1072,,0.3523,81.16
2,0.003,0.1019,,0.3511,71.35
3,0.004,0.09794,,0.3503,76.58
4,0.004,0.1029,,0.3527,73.29
5,0.004,0.09668,,0.3515,78.95
