Experiment Name: zipf_drop_0_1,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.001,0.103,0.003126,0.3462,49.43
2,0,0.09022,0.0009847,0.3381,49.08
3,0.001,0.09952,0.002037,0.3364,50.43
4,0.001,0.1019,0.001964,0.3456,49.44
5,0.001,0.09149,0.0009164,0.341,48.52
Experiment Name: zipf_drop_1_3,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.001,0.08763,0.0004138,0.3335,59.94
2,0.004,0.1032,0.001354,0.3431,61
3,0.002,0.09217,0.000748,0.3479,59.53
4,0.002,0.09952,0.001114,0.337,58.88
5,0,0.08629,0.0007325,0.3502,58.49
Experiment Name: zipf_drop_0_3,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.09016,0.001321,0.3138,92.85
2,0.001,0.07632,0.001556,0.3097,91.33
3,0,0.0806,0.001206,0.3149,91.43
4,0.001,0.06694,8.02E-07,0.2984,96.32
5,0.001,0.08959,0.0003624,0.314,91.49
Experiment Name: zipf_drop_500_1000,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.002,0.09891,0.001524,0.3366,52.66
2,0.003,0.1069,0.0002674,0.3387,52.88
3,0.004,0.1075,0.001836,0.3456,53.4
4,0.001,0.1054,0.001017,0.3391,50.47
5,0.003,0.1079,0.004018,0.3422,53.45
Experiment Name: zipf_drop_1000_1500,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.005,0.117,0.00131,0.3599,39.54
2,0.003,0.1156,0.002806,0.3647,40.51
3,0.001,0.118,0.002475,0.3626,39.53
4,0.003,0.1254,0.002506,0.3614,38.9
5,0.005,0.1135,0.003652,0.3707,38.46
Experiment Name: zipf_drop_500_1500,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0,0.1136,0.0009455,0.3303,58.52
2,0.003,0.1064,0.001423,0.3285,60.52
3,0.003,0.1074,0.004844,0.3312,59.63
4,0.002,0.09945,0.001726,0.3301,60.47
5,0.002,0.1018,0.001669,0.3347,58.35
