Experiment Name: Zipf drop 0-1,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.07127,0.1993,,0.4873,16.31
2,0.07127,0.1962,,0.4929,16.3
3,0.07127,0.1917,,0.4875,17.06
4,0.06793,0.2053,,0.4921,17.53
5,0.06904,0.2156,,0.4974,16.08
Experiment Name: Zipf drop 1-3,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06904,0.1862,,0.4738,20.69
2,0.06904,0.1873,,0.4766,20.42
3,0.07238,0.1886,,0.4859,20.17
4,0.0657,0.1832,,0.4701,19.86
5,0.07016,0.1647,,0.4656,21.17
Experiment Name: Zipf drop 0-3,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06793,0.2101,,0.4835,22.81
2,0.06793,0.1821,,0.4645,23.85
3,0.06904,0.1965,,0.4732,22.39
4,0.06904,0.1989,,0.4714,22.64
5,0.07016,0.2082,,0.4844,23.21
Experiment Name: Zipf drop 300-600,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.06793,0.2058,,0.4983,15
2,0.03786,0.1548,,0.4892,15.15
3,0.06904,0.1975,,0.4988,14.74
4,0.0735,0.1807,,0.4926,15.43
5,0.06904,0.1976,,0.4889,15.21
Experiment Name: Zipf drop 600-1000,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.07016,0.2144,,0.5111,14.97
2,0.07127,0.2223,,0.5155,14.89
3,0.06904,0.1959,,0.5025,15.08
4,0.06793,0.1899,,0.4959,15.41
5,0.06793,0.2009,,0.5029,15.14
Experiment Name: Zipf drop 300-1000,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.07127,0.2093,,0.4959,17.43
2,0.06793,0.172,,0.4803,18.12
3,0.07016,0.1929,,0.4908,17.73
4,0.07238,0.2083,,0.4954,17.7
5,0.06904,0.1914,,0.4826,17.85
