Experiment Name: Zipf Drop 0 1,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.1125,0.2812,0.09479,0.551,12.39
2,0.1136,0.2853,0.1028,0.5576,12.59
3,0.1058,0.2783,0.0956,0.5512,12.8
4,0.1069,0.2843,0.09629,0.5555,12.68
5,0.09243,0.2791,0.08646,0.5401,13.85
Experiment Name: Zipf Drop 1 3,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.09577,0.2676,0.08867,0.5407,15.65
2,0.1069,0.2651,0.08952,0.5428,14.96
3,0.1069,0.2792,0.09856,0.5475,14.98
4,0.1069,0.2757,0.09328,0.5422,14.85
5,0.1114,0.2709,0.09552,0.5458,14.73
Experiment Name: Zipf Drop 0 3,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.098,0.2676,0.09111,0.5298,16.93
2,0.1102,0.2662,0.0976,0.5392,17.8
3,0.1114,0.2756,0.1039,0.5378,19.12
4,0.1058,0.2726,0.09713,0.5343,18.48
5,0.1069,0.2675,0.09483,0.5344,17.54
Experiment Name: Zipf Drop 300 600,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.1047,0.289,0.09401,0.5641,11.69
2,0.1091,0.2862,0.09651,0.5692,11.54
3,0.09911,0.2897,0.09811,0.5669,11.53
4,0.108,0.294,0.09718,0.5703,11.64
5,0.07127,0.2761,0.05425,0.5405,13.5
Experiment Name: Zipf Drop 600 1000,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.1024,0.2869,0.09754,0.5667,11.56
2,0.1102,0.2889,0.1001,0.5686,11.53
3,0.1024,0.2871,0.09455,0.5641,12.32
4,0.1013,0.2951,0.0952,0.5638,11.76
5,0.1013,0.2828,0.09133,0.5664,12
Experiment Name: Zipf Drop 300 1000,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.1024,0.2862,0.09857,0.5621,13.59
2,0.1102,0.2816,0.08819,0.5547,13.88
3,0.1002,0.288,0.08925,0.5567,13.98
4,0.09465,0.2768,0.08527,0.5488,13.54
5,0.09131,0.2804,0.07932,0.5521,13.91
