Experiment Name: zipf_drop_0_1,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.0657,0.249,0.07085,0.5189,14.88
2,0.07684,0.2637,0.07888,0.5195,14.83
3,0.07572,0.2484,0.07561,0.5228,15.21
4,0.07016,0.2639,0.09273,0.527,14.93
5,0.0735,0.2627,0.08649,0.5167,14.51
Experiment Name: zipf_drop_1_3,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.09131,0.2425,0.07832,0.5114,16.93
2,0.04343,0.2137,0.06273,0.5011,17.57
3,0.07684,0.2621,0.07385,0.5156,17.82
4,0.06904,0.2457,0.06826,0.5065,17.53
5,0.08463,0.2658,0.07696,0.5136,17.95
Experiment Name: zipf_drop_0_3,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.08797,0.2614,0.07946,0.5063,19.39
2,0.07572,0.247,0.07793,0.5062,19.63
3,0.09243,0.2545,0.08531,0.5138,19.79
4,0.07795,0.2604,0.07377,0.4992,20.6
5,0.07238,0.2467,0.06629,0.505,19.97
Experiment Name: zipf_drop_300_600,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.06793,0.2595,0.0855,0.5348,13.79
2,0.06125,0.2423,0.07638,0.5353,13.84
3,0.08463,0.274,0.07571,0.5399,14.23
4,0.08129,0.2728,0.07819,0.5354,13.67
5,0.08686,0.2704,0.07372,0.5372,14.01
Experiment Name: zipf_drop_600_1000,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.07127,0.2555,0.05843,0.5252,14.86
2,0.06013,0.2324,0.07716,0.5413,14.13
3,0.07572,0.2647,0.0822,0.5363,14.21
4,0.07795,0.2701,0.07621,0.5347,14.28
5,0.08686,0.2562,0.07165,0.537,13.96
Experiment Name: zipf_drop_300_1000,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.08018,0.2727,0.07474,0.5277,15.64
2,0.08241,0.2664,0.07202,0.5308,15.69
3,0.08686,0.2625,0.07114,0.5294,15.55
4,0.08241,0.2716,0.08075,0.5305,15.9
5,0.06793,0.2575,0.04805,0.5168,17.01
